"X","date","p_cases","p_cases_recent","p_cases_fatalities","p_cases_stillsick","p_cases_past_smooth","p_cases_fatalities_past_smooth","p_cases_recent_past_smooth","p_cases_stillsick_past_smooth"
186,"2020-10-03",0.0497636959654439,0.00515228711033888,0.00398976018517982,0.0103512516602276,0.053212853773761,0.00416051578925491,0.00515231433217236,0.0103515166453682
187,"2020-10-04",0.0497636959654439,0.00515228711033888,0.00398976018517982,0.0103512516602276,0.0533686969583561,0.00415713523188724,0.00515230730944745,0.0103515134923989
188,"2020-10-05",0.0497636959654439,0.00515228711033888,0.00398976018517982,0.0103512516602276,0.0534895229850684,0.00415388413458565,0.00515230072351698,0.0103515075697472
189,"2020-10-06",0.0497636959654439,0.00515228711033888,0.00398976018517982,0.0103512516602276,0.0535774026212017,0.00415075532898791,0.0051522945633345,0.0103514990648222
190,"2020-10-07",0.0497636959654439,0.00515228711033888,0.00398976018517982,0.0103512516602276,0.0539457684318612,0.00414774215426171,0.0051522885942521,0.0103514884322379
191,"2020-10-08",0.0497636959654439,0.00515228711033888,0.00398976018517982,0.0103512516602276,0.0533235816459192,0.00414483841438577,0.00515228261718491,0.0103514757968244
192,"2020-10-09",0.0497636959654439,0.00515228711033888,0.00398976018517982,0.0103512516602276,0.0531446411747734,0.00414203833947354,0.00515227649272756,0.0103514613042192
193,"2020-10-10",0.0497636959654439,0.00515228711033888,0.00398976018517982,0.0103512516602276,0.0528758464218412,0.00413933655072971,0.00515227011574076,0.0103514441151588
194,"2020-10-11",0.0497636959654439,0.00515228711033888,0.00398976018517982,0.0103512516602276,0.0526018992931392,0.00413672802868441,0.00515226358514622,0.0103514274890239
195,"2020-10-12",0.0497636959654439,0.00515228711033888,0.00398976018517982,0.0103512516602276,0.0523046110930861,0.00413420808438129,0.00515225650203827,0.0103514087026376
196,"2020-10-13",0.0544283431060392,0.00637118122301177,0.00383768389164531,0.0125444079192454,0.052138391192691,0.00412009670355947,0.00630316375594434,0.0124118788337217
197,"2020-10-14",0.0586223614474446,0.00970669590766452,0.00360895616806147,0.0173661990010908,0.0520984572662359,0.00408977128970817,0.00969218097256659,0.0173652442735837
198,"2020-10-15",0.0472113942484929,0.00516924772211474,0.00221468192269629,0.0109846514094938,0.0517226181295065,0.00396139292006063,0.00613309948316113,0.0123203925385919
199,"2020-10-16",0.0470328147955296,0.00462001515164005,0,0.00462001515164005,0.0515769982789834,0.00379924704487112,0.00398194721249689,0.00500782601663084
200,"2020-10-17",0,0,0,0,0.0497985253865265,0.00373140334764128,0.000702838331025057,0.00039808457866092
201,"2020-10-18",0,0,0,0,0.0490183079905135,0.00366594097747214,3.28196628319292e-05,2.9096327754426e-07
202,"2020-10-19",0,0,0,0,0.0482231638805539,0.00360273426668814,2.01289740891192e-07,6.74799607796152e-13
203,"2020-10-20",0,0,0,0,0.0474089986286919,0.00354167097406252,2.22044604925031e-16,2.22044604925031e-16
204,"2020-10-21",0,0,0,0,0.0466190810149139,0.00348264312446521,1.8892282813131e-07,6.58323028301145e-08
205,"2020-10-22",0,0,0,0,0.0458128451106235,0.0034255506142286,8.6644628167642e-12,1.30349367402276e-13
206,"2020-10-23",0,0,0,0,0.0449974600707491,0.00337029979786956,2.22044604925031e-16,2.22044604925031e-16
207,"2020-10-24",0,0,0,0,0.044184529139414,0.00331680297568133,2.22044604925031e-16,2.22044604925031e-16
208,"2020-10-25",0,0,0,0,0.043369333663427,0.00326497792918615,2.22044604925031e-16,2.22044604925031e-16
