"","cutoff","date","lag","predType","fit_resp","right_lwr","right_upr","strawman","scaled_abs_err"
"116",2020-10-26,2020-11-01,6,"nearFar",4.95775664875641,3.3766805571332,7.27914606442851,NA,NA
"117",2020-10-26,2020-11-02,7,"nearFar",9.07261268703461,5.88899590118902,13.9773065476786,NA,NA
"118",2020-10-26,2020-11-03,8,"nearFar",10.9244901638889,5.59626516629309,21.3257381118625,NA,NA
"119",2020-10-26,2020-11-04,9,"nearFar",7.37145897472441,4.42440190134731,12.2815260972332,NA,NA
"120",2020-11-10,2020-11-15,5,"nearFuture",1.70840936917131,1.04850731287381,2.78363587629415,2,1.14579474251698
"121",2020-11-10,2020-11-24,14,"nearFuture",6.45783612565879,3.78079033022899,11.0304046993629,2,1.22891744837067
"122",2020-11-10,2020-11-15,5,"nearFar",1.70840936917131,1.04850731287381,2.78363587629415,NA,NA
"123",2020-11-10,2020-11-24,14,"nearFar",6.45783612565879,3.78079033022899,11.0304046993629,NA,NA
"124",2020-11-10,2020-11-15,5,"nearFar",1.70840936917131,1.04850731287381,2.78363587629415,NA,NA
"125",2020-11-10,2020-11-24,14,"nearFar",6.45783612565879,3.78079033022899,11.0304046993629,NA,NA
