"","date","regioncode","cases","deaths","cum_cases","cum_deaths","cases_daily","cases_active","p_cases","p_cases_low","p_cases_high","p_cases_daily","p_cases_active","population"
"122",2020-07-07,"BRMG",1271,52,60897,1282,669.888744472584,77123.4907272225,0.00705594115966626,0.00703222125663494,0.00707974107067504,7.76178722190134e-05,0.00364326383718478,21168791
"123",2020-07-08,"BRMG",3138,73,64035,1355,9596.11552288843,82281.9554775138,0.00747985581758087,0.00745530732818621,0.00750448513910022,0.00112091138471235,0.0038869463767446,21168791
"124",2020-07-09,"BRMG",2829,90,66864,1445,10193.9368466479,92080.7184665994,0.00796141080325048,0.00793597977960526,0.00798692332117637,0.00121377899824353,0.00434983360488558,21168791
"125",2020-07-10,"BRMG",3222,59,70086,1504,7401.91123245982,96356.0233468237,0.00831107230411086,0.00828494857794022,0.00833727840243658,0.000877747616379647,0.00455179624319706,21168791
"126",2020-07-11,"BRMG",3727,46,73813,1550,6860.1400047073,100379.813075222,0.00863514088245845,0.00860831508405104,0.00866205027718561,0.000802545288960437,0.0047418774683553,21168791
"127",2020-07-12,"BRMG",2038,26,75851,1576,8.17382681643358,94147.4170741051,0.00863552700875241,0.00860886387812758,0.00866227271967411,9.30578400260734e-07,0.00444746311086472,21168791
"128",2020-07-13,"BRMG",971,39,76822,1615,0,89888.2008923509,0.00857819274172984,0.00855194852322686,0.0086045174984871,0,0.0042462604922667,21168791
"129",2020-07-14,"BRMG",1821,73,78643,1688,2178.66057354398,75682.9097995854,0.00879577979263993,0.00876931586398344,0.00882232358380004,0.00024367100247701,0.00357521172558156,21168791
"130",2020-07-15,"BRMG",3367,64,82010,1752,8561.50324824723,77018.589260653,0.00914288540356066,0.00911575027626218,0.00917010130480656,0.000954479247420275,0.00363830835972886,21168791
"131",2020-07-16,"BRMG",2460,82,84470,1834,7221.03161192383,83078.0354655648,0.00948400226809599,0.00945631484897905,0.00951177075401217,0.000810752695459671,0.00392455268066867,21168791
"132",2020-07-17,"BRMG",2801,70,87271,1904,6622.24117835742,87888.2977427595,0.00979683265970208,0.00976860331195251,0.0098251435847303,0.00074339687475285,0.00415178636053233,21168791
"133",2020-07-18,"BRMG",3604,60,90875,1964,7323.94632103381,95212.2440637933,0.0101428111485555,0.010113890783301,0.0101718142107211,0.000817445990606919,0.00449776484938574,21168791
"134",2020-07-19,"BRMG",2097,18,92972,1982,0,90723.9105266008,0.0100986043372063,0.0100698897707115,0.0101274007840739,0,0.00428573887505436,21168791
"135",2020-07-20,"BRMG",1160,22,94132,2004,0,82284.1298730137,0.00997344399463099,0.00994518243142312,0.0100017858696844,0,0.00388704909378215,21168791
"136",2020-07-21,"BRMG",1434,67,95566,2071,0,75935.0342914951,0.0101058399559328,0.0100775117958569,0.010134247747238,0,0.0035871219235664,21168791
"137",2020-07-22,"BRMG",3175,95,98741,2166,3639.7672583416,70956.7969369441,0.0105652965584173,0.0105361079290422,0.0105945660502978,0.000389455448982656,0.00335195320965397,21168791
"138",2020-07-23,"BRMG",3827,72,102568,2238,14248.3894652555,84525.7058346958,0.0109878361064568,0.0109577896538761,0.0110179649469407,0.00152639193730201,0.00399293969290432,21168791
"139",2020-07-24,"BRMG",4244,77,106812,2315,10350.0552826063,94875.7611173021,0.0114767660261016,0.011445706604658,0.0115079097313463,0.00111209567123253,0.00448186961254906,21168791
"140",2020-07-25,"BRMG",3281,89,110093,2404,9158.14040049771,103364.012773327,0.011909390657357,0.0118775232280146,0.0119413435871049,0.000990688524469774,0.00488284913263716,21168791
"141",2020-07-26,"BRMG",2478,25,112571,2429,299.428969327739,94067.3262197665,0.01192353548827,0.0118917206612126,0.0119554354319601,3.17155567774595e-05,0.00444367967068911,21168791
