"date","ccaa","reg_code","population","cases","deaths","cum_cases","cum_deaths","deaths_prev_week","cases_infected","cases_infected_low","cases_infected_high","cases_daily","cases_contagious","cases_active","p_cases_infected","p_cases_infected_low","p_cases_infected_high","p_cases_daily","p_cases_contagious","p_cases_active"
2020-05-20,"C. Valenciana","ESVC",5003769,14,2,11836,1432,23,106986.57531986,106656.766144514,107317.404346979,100.536988011765,1713.11910226384,2551.87234550898,0.0213811979169821,0.021315285766492,0.02144731388419,2.00922520627481e-05,0.00034236574515407,0.000509990038610691
2020-05-21,"C. Valenciana","ESVC",5003769,8,4,11844,1436,19,107133.705355389,106803.811775104,107464.617904683,153.508654000907,1564.01918146305,2383.25958870394,0.0214106017594714,0.0213446727407088,0.0214767344185319,3.06786052675307e-05,0.00031256822236659,0.000476292888161691
2020-05-22,"C. Valenciana","ESVC",5003769,16,3,11860,1439,20,107287.171124228,106957.072969543,107618.288050169,153.465768839,1660.67968022519,2536.72535754293,0.0214412717941671,0.021375301891343,0.0215074452977684,3.06700346956464e-05,0.000331885760558729,0.000506962922857337
2020-05-23,"C. Valenciana","ESVC",5003769,8,2,11868,1441,19,107301.655642598,106971.680496323,107632.648661984,14.4845183706784,1330.60841038682,2472.8245747105,0.0214441665158001,0.0213782211961271,0.0215103152567562,2.89472163296875e-06,0.000265921230653697,0.000494192392716469
2020-05-24,"C. Valenciana","ESVC",5003769,9,0,11877,1441,17,107183.30839856,106853.662716072,107513.971044558,0,1199.23095180647,2071.28545050463,0.0214205148955836,0.0213546354190356,0.0214865976116319,0,0.000239665530484415,0.000413945058315967
2020-05-25,"C. Valenciana","ESVC",5003769,5,3,11882,1444,16,107259.447140744,106929.836643482,107590.07366013,0,886.887737431214,2071.28545050463,0.0214357311739897,0.0213698587291864,0.0215018066701581,0,0.000177243941003514,0.000413945058315967
2020-05-26,"C. Valenciana","ESVC",5003769,13,2,11895,1446,16,107341.438973604,107011.747806305,107672.145882334,0,421.99592922235,2034.57804347442,0.0214521171887839,0.0213862286221256,0.0215182087507105,0,8.43356136588939e-05,0.000406609106750216
2020-05-27,"C. Valenciana","ESVC",5003769,15,2,11910,1448,16,107449.24003398,107119.388769986,107780.107004445,26.8119764938892,448.807905716239,1758.78144516662,0.0214736611610128,0.0214077405991335,0.0215397847111737,5.35835616989698e-06,8.96939698287909e-05,0.000351491334865103
2020-05-28,"C. Valenciana","ESVC",5003769,9,2,11919,1450,14,107508.338193342,107178.476151218,107839.215448322,179.870574250075,628.678479966314,1881.84674933983,0.0214854718899578,0.0214195491740763,0.0215515974954723,3.59470179878558e-05,0.000125640987816647,0.000376085856349451
2020-05-29,"C. Valenciana","ESVC",5003769,9,1,11928,1451,12,107497.428769997,107167.672216826,107828.199989083,0,628.678479966314,1537.29096113078,0.0214832916487545,0.0214173900147722,0.0215493960630644,0,0.000125640987816647,0.00030722660481145
